,Modelo,Error,Accuracy,Precision,Recall,F1
0,ArbolDeDecision=gini_max_depth=12_max_features=7_max_leaf_nodes=10,0.1818181818181818,0.8181818181818182,0.7777777777777778,0.75,0.7636363636363638
1,ArbolDeDecision=gini_max_depth=14_max_features=7_max_leaf_nodes=14,0.1468531468531468,0.8531468531468531,0.8723404255319149,0.7321428571428571,0.7961165048543688
2,SVM_kernel=linear,0.1818181818181818,0.8181818181818182,0.7884615384615384,0.7321428571428571,0.7592592592592592
3,NaiveBayes,0.1398601398601398,0.8601398601398601,0.8461538461538461,0.7857142857142857,0.8148148148148148
4,RegLogBinaria_Epochs=40_BatchSize=3_lr=0.001,0.3356643356643357,0.6643356643356644,0.75,0.2142857142857142,0.3333333333333333
5,RegLogBinaria_Epochs=30_BatchSize=3_lr=0.001,0.3286713286713286,0.6713286713286714,0.8,0.2142857142857142,0.3380281690140845
6,RegLogBinaria_Epochs=30_BatchSize=5_lr=0.001,0.3286713286713286,0.6713286713286714,0.8,0.2142857142857142,0.3380281690140845
7,RegLogBinaria_Epochs=30_BatchSize=5_lr=0.0001,0.3566433566433566,0.6433566433566433,0.5925925925925926,0.2857142857142857,0.3855421686746988
8,RegLogBinaria_Epochs=30_BatchSize=5_lr=0.01,0.3356643356643357,0.6643356643356644,0.7857142857142857,0.1964285714285714,0.3142857142857143
9,RegLogBinaria_Epochs=40_BatchSize=5_lr=0.01,0.3356643356643357,0.6643356643356644,0.7857142857142857,0.1964285714285714,0.3142857142857143
10,RegLogBinaria_Epochs=40_BatchSize=4_lr=0.01,0.3286713286713286,0.6713286713286714,0.7647058823529411,0.2321428571428571,0.3561643835616438
11,RegLogBinaria_Epochs=40_BatchSize=2_lr=0.01,0.3356643356643357,0.6643356643356644,0.75,0.2142857142857142,0.3333333333333333
12,RegLogBinaria_Epochs=100_BatchSize=5_lr=0.001,0.3286713286713286,0.6713286713286714,0.7647058823529411,0.2321428571428571,0.3561643835616438
13,RegLogBinaria_Epochs=30_BatchSize=5_lr=0.001,0.3286713286713286,0.6713286713286714,0.8,0.2142857142857142,0.3380281690140845
14,NaiveBayes,0.13966480446927373,0.8603351955307262,0.8888888888888888,0.7567567567567568,0.8175182481751826
